Game,MeanValue,GamePrice,Profit
['Koala Kids'],5.86,6.75,-0.89
['Time in Time'],7.6,6.75,0.85
['Fallen'],7.0,6.75,0.25
['Broccoli Bob'],5.43,6.75,-1.32
['Drift Streets Japan'],7.64,6.75,0.89
['Clones'],7.44,6.75,0.69
['Legends of the Universe - StarCore'],6.6,6.75,-0.15
['Chimpology'],6.6,6.75,-0.15
['Shootout on Cash Island'],6.09,6.75,-0.66
['Draw Slasher'],7.34,6.75,0.59
['Monument'],6.38,6.75,-0.37
['Unalive'],6.5,6.75,-0.25
['Corgi Warlock'],5.66,6.75,-1.09
['Road Scars: Origins'],6.45,6.75,-0.3
['Cold Blooded Cube'],7.08,6.75,0.33
['Wooden Floor 2 - Resurrection'],7.14,6.75,0.39
['Approaching Blocks'],10.66,6.75,3.91
['Rabbit Island'],6.38,6.75,-0.37
['Airstrike HD'],6.62,6.75,-0.13
['Escape: VR'],7.01,6.75,0.26
"[""Sir! I'd Like To Report A Bug!""]",5.9,6.75,-0.85
['The Last Sin'],6.33,6.75,-0.42
['Antisphere'],5.92,6.75,-0.83
['The Warriorlock'],5.96,6.75,-0.79
['A Dump in the Dark'],7.12,6.75,0.37
['Monsti'],5.85,6.75,-0.9
['The Last Hope'],7.49,6.75,0.74
['Simple Ball: Extended Edition'],6.74,6.75,-0.01
['Star Merc'],6.99,6.75,0.24
['Dyna Bomb'],6.25,6.75,-0.5
['Doc Apocalypse'],4.84,6.75,-1.91
['NEONomicon'],6.86,6.75,0.11
['Humanity Asset'],6.02,6.75,-0.73
['From Shadows'],6.98,6.75,0.23
['Bizarre Earthquake'],6.99,6.75,0.24
['Blob From Space'],6.9,6.75,0.15
['Rogue Port - Red Nightmare'],7.46,6.75,0.71
['Twixel'],14.58,6.75,7.83
['Drift Horizon Online'],8.1,6.75,1.35
['Our Wonderful World'],6.66,6.75,-0.09
['UBERMOSH'],7.35,6.75,0.6
['Void Source'],8.72,6.75,1.97
['Prison Run and Gun'],7.0,6.75,0.25
['Skyhook'],7.12,6.75,0.37
['macdows 95'],10.9,6.75,4.15
['Mahjong World Contest (麻将)'],6.64,6.75,-0.11
['Scheming Through The Zombie Apocalypse: The Beginning'],6.7,6.75,-0.05
['Carton'],7.94,6.75,1.19
['The Adventurer - Episode 1: Beginning of the End'],9.68,6.75,2.93
['Brushwood Buddies'],6.6,6.75,-0.15
['DungeonUp'],6.19,6.75,-0.56
['BlackEye'],6.07,6.75,-0.68
['MMM: Murder Most Misfortunate'],5.72,6.75,-1.03
['Pixel Puzzles 2: Space'],6.55,6.75,-0.2
['Day D: Tower Rush'],8.32,6.75,1.57
['Threads of Destiny'],8.09,6.75,1.34
['Overture'],6.74,6.75,-0.01
['Gnomes Garden 2'],6.44,6.75,-0.31
['This Book Is A Dungeon'],7.54,6.75,0.79
['Steam and Metal'],6.79,6.75,0.04
['CAT Interstellar'],7.54,6.75,0.79
['Chicken Labyrinth Puzzles'],6.98,6.75,0.23
['Castle of no Escape 2'],6.46,6.75,-0.29
['NecroWorm'],6.58,6.75,-0.17
['Ghostlords'],6.92,6.75,0.17
['Vagrant Hearts Zero'],7.94,6.75,1.19
['Castle of no Escape'],6.08,6.75,-0.67
['Erzurum'],7.3,6.75,0.55
['Solitaire Beach Season'],7.0,6.75,0.25
['Pixel Puzzles Mosaics'],7.82,6.75,1.07
['Strange Night'],7.49,6.75,0.74
['IronBorn'],16.85,6.75,10.1
['Sleeping Valley'],6.07,6.75,-0.68
"[""A Princess' Tale""]",7.53,6.75,0.78
['Dream Stone'],7.74,6.75,0.99
['The Village'],6.82,6.75,0.07
['Eron'],6.88,6.75,0.13
['Cavern Escape Extremely Hard game!!!'],6.49,6.75,-0.26
"['Dynamic Very, Very, Hard game!!']",7.26,6.75,0.51
['Pixel Puzzles 2: RADical ROACH'],6.06,6.75,-0.69
['Project: R.E.B.O.O.T 2'],7.34,6.75,0.59
['Pixel Puzzles 2: Birds'],6.82,6.75,0.07
['Madness'],7.1,6.75,0.35
['One Wish'],7.64,6.75,0.89
['Three Days'],7.42,6.75,0.67
['Play With Me: Escape room'],8.09,6.75,1.34
['Raywin'],7.98,6.75,1.23
['Hover Hazard'],7.52,6.75,0.77
"[""Hollow's Land""]",6.98,6.75,0.23
['1931: Scheherazade at the Library of Pergamum'],7.47,6.75,0.72
['Bomb Royale'],7.22,6.75,0.47
['Block Legend DX'],6.32,6.75,-0.43
['Yargis - Space Melee'],6.44,6.75,-0.31
['CRIMSON METAL Classic 1999'],6.41,6.75,-0.34
['The Last Hope: Trump vs Mafia - North Korea'],7.16,6.75,0.41
['White Mirror'],6.14,6.75,-0.61
"[""Shad'O""]",3.12,6.75,-3.63
